2025-08-18 20:12:02 - root - INFO - Logging initialized
2025-08-18 20:12:02 - root - INFO - Configuration: ScraperConfig(start_year=2008, end_year=2025, content_type='both', output_dir='scraped_content', delay=1.0, user_agent='Church-Content-Scraper/1.0')
2025-08-18 20:12:02 - FileManager - DEBUG - FileManager initialized with base directory: /Users/jaredteerlink/repos/church-gpt/scraped_content
2025-08-18 20:12:02 - ConferenceScraper - INFO - Starting General Conference scraping...
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2008/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2008/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2009/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2009/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2010/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2010/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2011/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2011/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2012/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2012/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2013/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2013/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2014/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2014/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2015/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2015/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2016/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2016/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2017/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2017/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2018/04?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2018/10?lang=eng
2025-08-18 20:12:02 - ConferenceScraper - DEBUG - Generated conference URL: https://www.churchofjesuschrist.org/study/general-conference/2019/04?lang=eng
